well_id,fragment_id
A1,X095
A2,X058
A3,X085
A4,X050
A5,X027
A6,X085
A7,X036
A8,X064
A9,X087
A10,X022
A11,X068
A12,X070
B1,X027
B2,X016
B3,X038
B4,X068
B5,X032
B6,X027
B7,X029
B8,X072
B9,X068
B10,X027
B11,X032
B12,X074
C1,X088
C2,X062
C3,X095
C4,X063
C5,X012
C6,X025
C7,X034
C8,X075
C9,X015
C10,X052
C11,X023
C12,X076
D1,X069
D2,X031
D3,X059
D4,X034
D5,X060
D6,X021
D7,X025
D8,X033
D9,X094
D10,X088
D11,X025
D12,X086
E1,X026
E2,X070
E3,X052
E4,X015
E5,X092
E6,X015
E7,X036
E8,X001
E9,X052
E10,X017
E11,X088
E12,X078
F1,X086
F2,X030
F3,X076
F4,X043
F5,X034
F6,X061
F7,X006
F8,X020
F9,X081
F10,X056
F11,X080
F12,X034
G1,X008
G2,X009
G3,X018
G4,X082
G5,X052
G6,X004
G7,X019
G8,X006
G9,X080
G10,X007
G11,X067
G12,X002
H1,X031
H2,X044
H3,X009
H4,X047
H5,X002
H6,X030
H7,X035
H8,X018
H9,X079
H10,X092
H11,X066
H12,X078
